"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"APP_MLX_WEST_6000","00:14:00","00:14:00","237","1"
"APP_MLX_WEST_6000","00:34:00","00:36:00","102","2"
"APP_MLX_WEST_6000","00:51:00","00:51:00","183","3"
"APP_MLX_WEST_6000","00:54:00","00:54:00","225","4"
"APP_MLX_WEST_6000","00:57:00","00:57:00","64","5"
"APP_MLX_WEST_6000","01:01:00","01:01:00","226","6"
"APP_MLX_WEST_6000","01:04:00","01:04:00","16","7"
"APP_MLX_WEST_6000","01:07:00","01:07:00","215","8"
"APP_MLX_WEST_6000","01:10:00","01:10:00","187","9"
"APP_MLX_WEST_6000","01:12:00","01:12:00","136","10"
"APP_MLX_WEST_6000","01:14:00","01:14:00","135","11"
"APP_MLX_WEST_6000","01:17:00","01:17:00","8","12"
"APP_MLX_WEST_6000","01:20:00","01:20:00","38","13"
"APP_MLX_WEST_6000","01:23:00","01:23:00","117","14"
"APP_MLX_WEST_6000","01:28:00","01:28:00","27","15"
"APP_MLX_WEST_6001","01:05:00","01:05:00","27","1"
"APP_MLX_WEST_6001","01:10:00","01:10:00","117","2"
"APP_MLX_WEST_6001","01:13:00","01:13:00","38","3"
"APP_MLX_WEST_6001","01:15:00","01:15:00","8","4"
"APP_MLX_WEST_6001","01:18:00","01:18:00","135","5"
"APP_MLX_WEST_6001","01:20:00","01:20:00","136","6"
"APP_MLX_WEST_6001","01:22:00","01:22:00","187","7"
"APP_MLX_WEST_6001","01:25:00","01:25:00","215","8"
"APP_MLX_WEST_6001","01:28:00","01:28:00","16","9"
"APP_MLX_WEST_6001","01:31:00","01:31:00","226","10"
"APP_MLX_WEST_6001","01:34:00","01:34:00","64","11"
"APP_MLX_WEST_6001","01:37:00","01:37:00","225","12"
"APP_MLX_WEST_6001","01:40:00","01:40:00","183","13"
"APP_MLX_WEST_6001","01:42:00","01:42:00","125","14"
"APP_MLX_WEST_6001","01:55:00","01:57:00","102","15"
"APP_MLX_WEST_6001","02:16:00","02:16:00","237","16"
"APP_MLX_WEST_6002","00:39:00","00:39:00","237","1"
"APP_MLX_WEST_6002","00:51:00","00:51:00","214","2"
"APP_MLX_WEST_6002","00:56:00","00:56:00","55","3"
"APP_MLX_WEST_6002","00:58:00","00:58:00","107","4"
"APP_MLX_WEST_6002","01:02:00","01:04:00","102","5"
"APP_MLX_WEST_6002","01:19:00","01:19:00","125","6"
"APP_MLX_WEST_6002","01:21:00","01:21:00","183","7"
"APP_MLX_WEST_6002","01:24:00","01:24:00","225","8"
"APP_MLX_WEST_6002","01:27:00","01:27:00","64","9"
"APP_MLX_WEST_6002","01:30:00","01:30:00","226","10"
"APP_MLX_WEST_6002","01:33:00","01:33:00","16","11"
"APP_MLX_WEST_6002","01:36:00","01:36:00","215","12"
"APP_MLX_WEST_6002","01:39:00","01:39:00","187","13"
"APP_MLX_WEST_6002","01:41:00","01:41:00","136","14"
"APP_MLX_WEST_6002","01:43:00","01:43:00","135","15"
"APP_MLX_WEST_6002","01:46:00","01:46:00","8","16"
"APP_MLX_WEST_6002","01:48:00","01:48:00","38","17"
"APP_MLX_WEST_6002","01:51:00","01:51:00","117","18"
"APP_MLX_WEST_6002","01:58:00","01:58:00","27","19"
"APP_MLX_WEST_6003","01:23:00","01:23:00","27","1"
"APP_MLX_WEST_6003","01:28:00","01:28:00","117","2"
"APP_MLX_WEST_6003","01:31:00","01:31:00","38","3"
"APP_MLX_WEST_6003","01:33:00","01:33:00","8","4"
"APP_MLX_WEST_6003","01:36:00","01:36:00","135","5"
"APP_MLX_WEST_6003","01:38:00","01:38:00","136","6"
"APP_MLX_WEST_6003","01:40:00","01:40:00","187","7"
"APP_MLX_WEST_6003","01:43:00","01:43:00","215","8"
"APP_MLX_WEST_6003","01:46:00","01:46:00","16","9"
"APP_MLX_WEST_6003","01:49:00","01:49:00","226","10"
"APP_MLX_WEST_6003","01:52:00","01:52:00","64","11"
"APP_MLX_WEST_6003","01:55:00","01:55:00","225","12"
"APP_MLX_WEST_6003","01:59:00","01:59:00","183","13"
"APP_MLX_WEST_6003","02:07:00","02:07:00","211","14"
"APP_MLX_WEST_6003","02:11:00","02:11:00","180","15"
"APP_MLX_WEST_6003","02:14:00","02:14:00","122","16"
"APP_MLX_WEST_6003","02:16:00","02:16:00","119","17"
"APP_MLX_WEST_6003","02:22:00","02:24:00","102","18"
"APP_MLX_WEST_6003","02:28:00","02:28:00","107","19"
"APP_MLX_WEST_6003","02:30:00","02:30:00","55","20"
"APP_MLX_WEST_6003","02:35:00","02:35:00","214","21"
"APP_MLX_WEST_6003","02:46:00","02:46:00","237","22"
"APP_MLX_WEST_6004","01:42:00","01:42:00","237","1"
"APP_MLX_WEST_6004","01:54:00","01:54:00","214","2"
"APP_MLX_WEST_6004","02:03:00","02:05:00","102","3"
"APP_MLX_WEST_6004","02:19:00","02:19:00","211","4"
"APP_MLX_WEST_6004","02:24:00","02:24:00","125","5"
"APP_MLX_WEST_6004","02:27:00","02:27:00","183","6"
"APP_MLX_WEST_6004","02:30:00","02:30:00","225","7"
"APP_MLX_WEST_6004","02:33:00","02:33:00","64","8"
"APP_MLX_WEST_6004","02:37:00","02:37:00","226","9"
"APP_MLX_WEST_6004","02:40:00","02:40:00","16","10"
"APP_MLX_WEST_6004","02:43:00","02:43:00","215","11"
"APP_MLX_WEST_6004","02:46:00","02:46:00","187","12"
